Name,Accuracy,Precision,Recall,F1 score,ROC_AUC Score
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
lr_1,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
lr_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
lr_1,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
lr_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
New_Run,---------,---------,---------,---------,---------
lr_1,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
lr_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
New_Run,---------,---------,---------,---------,---------
lr_1,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
lr_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
New_Run,---------,---------,---------,---------,---------
lr_1,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
lr_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.7871396895787139
knn,0.6081081081081081,0.75,0.43902439024390244,0.5538461538461539,0.6286031042128603
knn_2,0.7432432432432432,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.7387287509238729
svc,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
svc_2,0.7567567567567568,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.745011086474501
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8783783783783784,0.8809523809523809,0.9024390243902439,0.891566265060241,0.8754619364375462
mlp,0.7567567567567568,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.7745750184774576
New_Run,---------,---------,---------,---------,---------
lr_1,0.8918918918918919,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.8906134515890612
lr_2,0.8918918918918919,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.8906134515890612
clf,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
clf_2,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
gb_2,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8359201773835919
ada_2,0.8783783783783784,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8813747228381374
dt_gini,0.7567567567567568,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7627494456762749
dt_en,0.7702702702702703,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.7749445676274944
knn,0.7702702702702703,0.9,0.6585365853658537,0.7605633802816901,0.7838137472283814
knn_2,0.8918918918918919,0.9230769230769231,0.8780487804878049,0.9,0.8935698447893569
svc,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
svc_2,0.918918918918919,0.926829268292683,0.926829268292683,0.926829268292683,0.9179600886917959
gnb,0.9054054054054054,0.925,0.9024390243902439,0.9135802469135802,0.9057649667405764
bnb,0.8648648648648649,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8632668144863267
mlp,0.8783783783783784,0.9,0.8780487804878049,0.8888888888888888,0.8784183296378418
